Details of Incentives and Financial Assistance extended to MSME units in Karnataka  as per Industrial Policy 2014-19,,,,,,,
Sl.No,District,Name of the Unit & Unit Address,,Incentive,"Amount  
(In Rs.)",Year,
I,International Organization for Standardization,,,,,,
1,BENGALURU URBAN,M/s. Syscom Seatings Pvt. Ltd,"No. 81, 6th Cross, 1st Main, Sampangiramanagar,   Bangalore – 560 027
",International Organization for Standardization," 73,200 ",2014-15,
2,BENGALURU URBAN,M/s. Shubham Comtech & Exports Pvt. Ltd,"No.84/85, BJWR, KIADB, Jigani Indl. Area, Anekal Taluk, Bangalore -560 105. 
",International Organization for Standardization," 72,000 ",2014-15,
3,BENGALURU URBAN,M/s. Anjani Associates.,"No.7, KSSIDC Indl.Estate, Bommasandra, Jigani Link Road, Bangalore – 560 099",International Organization for Standardization," 67,800 ",2014-15,
4,BENGALURU URBAN,M/s. Anjani Ispat Pvt. Ltd.,"Plot No. 61062, BJLR KIADB, Jigani Indl. Area, Anekal Taluk, Bangalore -560 105",International Organization for Standardization," 67,800 ",2014-15,
5,BENGALURU URBAN,M/s. Dvaita Enterprises.,"No.490/6, 4th Phase, 2nd Stage, Peenya Indl. Area, Bangalore – 560 048",International Organization for Standardization," 50,000 ",2014-15,
6,BENGALURU URBAN,M/s. Delta Control Systems     ,"No. 63/3, Indl. Estate, P&T Colony Main road, srigandada Kavalu, Sunkadakatte, Bangalore - 560 091                                 ",International Organization for Standardization," 36,800 ",2014-15,
7,SHIVAMOGGA,M/s. Vishweswaraya Alloy Castings Pvt. Ltd.," No. 52, KIADB Indl. Area, Machenahalli, Nidige, Shimoga Dist - 577 222 ",International Organization for Standardization," 75,000 ",2014-15,
8,BENGALURU URBAN,M/s. Friction Technologies       ,"No. 59, 15th 'A' cross, Bhyraveshwara Indl. Area, Andhrahalli Main Road, Near Peenya 2nd Stage, Bangalore - 560091",International Organization for Standardization," 40,700 ",2014-15,
9,BENGALURU URBAN,M/s. Drive Tech Products.      ," NO. 3/1, 2nd Cross, Shankrappa Garden, Magadi Road, Bangalore - 560 023         ",International Organization for Standardization," 48,300 ",2014-15,
10,BENGALURU URBAN,"M/s. Mahalasa Medical Technology, ","#1199, 3rd Cross, 18th Main 2nd Phase, J.P. Nagar, Bangalore-78.",International Organization for Standardization," 67,300 ",2014-15,
11,BENGALURU URBAN,"M/s. Lakshimi Controls and Instruments,"," # C143, 4th main, 2nd Stage, Peenya Indl. Area, Bangalore-58.",International Organization for Standardization," 68,800 ",2014-15,
12,BENGALURU URBAN,"M/s. Mama Furnishers,","C-243, 5th Cross, 1st Stage, Peenya Industrial Area, Bengalrur[ 560 058.",International Organization for Standardization," 25,900 ",2014-15,
13,BENGALURU URBAN,"M/s. Rampo Controls, ","#19, Opp. To Nagalingeshwara Temple, 7th main, Near Peenya 2nd Stage, Rajagopalnagara, Bangalore- 58.",International Organization for Standardization," 75,000 ",2014-15,
14,BENGALURU URBAN,"M/s. Pragathi Solutions, ","#698, 5th main, 8th Cross, HAL 3rd Stage, New Thipsandra Road, Bangalore- 75",International Organization for Standardization," 74,600 ",2014-15,
15,BENGALURU URBAN,"M/s. Bindu Industries, ","#190/218, Outer Ring Road, Agara, Sectro -1 , HSR layout, Bangalroe-102.",International Organization for Standardization," 50,300 ",2014-15,
16,BENGALURU URBAN,M/s Acros Artis Systems             ,"No 105/3 4 th Cross East End 1st Stage,Pennya Industrial Estate, Bengaluru - 560058  ",International Organization for Standardization," 68,300 ",2015-16,
17,BENGALURU URBAN,M/S  Argo Thermodyne        ,"                                    No 234,3rd Phase, 3rd Cross ,Peenya Idustrial Area, Bangalore - 560058                  ",International Organization for Standardization," 75,000 ",2015-16,
18,MYSURU,M/S Krutika Engineers       ," No MF - 6 Yadavagiri Industrial Estate, Yadavagiri, Mysore - 570020   ",International Organization for Standardization," 75,000 ",2015-16,
19,SHIVAMOGGA,"M/s Vinayaka enginnering services, ","No 55 Shimoga - Badravathi industrial area Machenahalli Nidige post Shimoga Tq,Shimoga Dist       ",International Organization for Standardization," 55,300 ",2015-16,
20,BENGALURU URBAN,"M/s Kraft Pack, ","No.112, Garebhavi Palya, Begur Hobli, Hosur Road, Bangalore – 560068",International Organization for Standardization," 59,000 ",2015-16,
21,BENGALURU URBAN,M/s Shivam Industries         ,"No 188/2,N0 552/511,APC Circle, Jigani Industrial Area, Anekal Tq, Bangalore-560105    ",International Organization for Standardization," 47,300 ",2015-16,
22,BENGALURU URBAN,M/s AMS Bhargava Machining Pvt Ltd. ,"
No. A - 153,A - 154,2nd C Main Road,2nd Stage Peenya Industrial Area, Bangalore - 560058    ",International Organization for Standardization," 75,000 ",2015-16,
23,BENGALURU URBAN,M/s Nascent Ventures           ,"No C-273,3rd Main, 7th  Cross,1st Stage, Peenya Industrial  area, Bangalore - 560058                     ",International Organization for Standardization," 58,000 ",2015-16,
