"StateName","state_id","DistrictName","DISTRICT_ID","TotalManufacturingUnit","TotalServiceUnit","_CreatedDate"
"ANDHRA PRADESH","28","ANANTHAPUR","520","11367","9826","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","CHITOOR","511","8146","19524","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","EAST GODAVARI","512","12659","13885","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","GUNTUR","509","10626","14853","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","KRISHNA","517","9686","13545","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","KURNOOL","506","5610","9739","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","PRAKASAM","510","12251","32919","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","SPSR NELLORE","518","5501","48558","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","SRIKAKULAM","522","7092","3802","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","VISAKHAPATNAM","519","11642","17428","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","VIZIANAGARAM","513","17355","12831","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","WEST GODAVARI","505","14978","18561","2022-02-11T08:37:09.887"
"ANDHRA PRADESH","28","Y.S.R","503","4121","33379","2022-02-11T08:37:09.887"
"ARUNACHAL PRADESH","12","ANJAW","628","5","11","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","CHANGLANG","269","134","36","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","DIBANG VALLEY","267","7","11","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","EAST KAMENG","260","9","16","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","EAST SIANG","265","83","47","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","KRA DAADI","722","0","1","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","KURUNG KUMEY","631","11","11","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","LOHIT","268","83","53","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","LONGDING","630","17","3","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","LOWER DIBANG VALLEY","629","30","52","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","LOWER SUBANSIRI","262","74","65","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","PAPUM PARE","261","415","418","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","TAWANG","258","7","13","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","TIRAP","270","6","8","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","UPPER SIANG","266","4","10","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","UPPER SUBANSIRI","263","65","43","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","WEST KAMENG","259","30","45","2022-02-11T08:37:11.890"
"ARUNACHAL PRADESH","12","WEST SIANG","264","113","46","2022-02-11T08:37:11.890"
"ASSAM","18","BAKSA","651","242","143","2022-02-11T08:37:12.063"
"ASSAM","18","BARPETA","311","851","465","2022-02-11T08:37:12.063"
"ASSAM","18","Biswanath","725","26","47","2022-02-11T08:37:12.063"
"ASSAM","18","BONGAIGAON","310","280","240","2022-02-11T08:37:12.063"
"ASSAM","18","CACHAR","327","517","570","2022-02-11T08:37:12.063"
"ASSAM","18","CHIRANG","652","333","123","2022-02-11T08:37:12.063"
"ASSAM","18","DARRANG","314","574","224","2022-02-11T08:37:12.063"
"ASSAM","18","DHEMAJI","653","266","326","2022-02-11T08:37:12.063"
"ASSAM","18","DHUBRI","308","511","321","2022-02-11T08:37:12.063"
"ASSAM","18","DIBRUGARH","321","450","848","2022-02-11T08:37:12.063"
"ASSAM","18","DIMA HASAO","654","55","28","2022-02-11T08:37:12.063"
"ASSAM","18","GOALPARA","309","265","248","2022-02-11T08:37:12.063"
"ASSAM","18","GOLAGHAT","324","404","607","2022-02-11T08:37:12.063"
"ASSAM","18","HAILAKANDI","329","143","152","2022-02-11T08:37:12.063"
"ASSAM","18","HOJAI","727","0","1","2022-02-11T08:37:12.063"
"ASSAM","18","JORHAT","323","331","322","2022-02-11T08:37:12.063"
"ASSAM","18","KAMRUP","312","1221","946","2022-02-11T08:37:12.063"
"ASSAM","18","KAMRUP METRO","319","2688","3036","2022-02-11T08:37:12.063"
"ASSAM","18","KARBI-ANGELONG","325","218","206","2022-02-11T08:37:12.063"
"ASSAM","18","KARIMGANJ","328","154","308","2022-02-11T08:37:12.063"
"ASSAM","18","KOKRAJHAR","307","270","170","2022-02-11T08:37:12.063"
"ASSAM","18","LAKHIMPUR","318","422","343","2022-02-11T08:37:12.063"
"ASSAM","18","MAJULI","728","3","6","2022-02-11T08:37:12.063"
"ASSAM","18","MARIGAON","315","299","170","2022-02-11T08:37:12.063"
"ASSAM","18","NAGAON","316","1744","881","2022-02-11T08:37:12.063"
"ASSAM","18","NALBARI","313","539","167","2022-02-11T08:37:12.063"
"ASSAM","18","SIVASAGAR","322","360","429","2022-02-11T08:37:12.063"
"ASSAM","18","SONITPUR","317","738","609","2022-02-11T08:37:12.063"
"ASSAM","18","TINSUKIA","320","608","607","2022-02-11T08:37:12.063"
"ASSAM","18","UDALGURI","326","274","167","2022-02-11T08:37:12.063"
"ASSAM","18","WEST KARBI ANGLONG","730","0","1","2022-02-11T08:37:12.063"
"BIHAR","10","ARARIA","223","9051","38619","2022-02-11T08:37:12.390"
"BIHAR","10","ARWAL","613","912","1921","2022-02-11T08:37:12.390"
"BIHAR","10","AURANGABAD","250","5311","3707","2022-02-11T08:37:12.390"
"BIHAR","10","BANKA","239","19005","9804","2022-02-11T08:37:12.390"
"BIHAR","10","BEGUSARAI","236","8903","22466","2022-02-11T08:37:12.390"
"BIHAR","10","BHAGALPUR","238","11359","16183","2022-02-11T08:37:12.390"
"BIHAR","10","BHOJPUR","245","6372","4400","2022-02-11T08:37:12.390"
"BIHAR","10","BUXAR","246","5581","3749","2022-02-11T08:37:12.390"
"BIHAR","10","DARBHANGA","229","5738","33005","2022-02-11T08:37:12.390"
"BIHAR","10","GAYA","251","8292","14849","2022-02-11T08:37:12.390"
"BIHAR","10","GOPALGANJ","231","3458","6859","2022-02-11T08:37:12.390"
"BIHAR","10","JAMUI","253","9277","7453","2022-02-11T08:37:12.390"
"BIHAR","10","JEHANABAD","249","1725","2471","2022-02-11T08:37:12.390"
"BIHAR","10","KAIMUR (BHABUA)","247","3859","3853","2022-02-11T08:37:12.390"
"BIHAR","10","KATIHAR","226","8789","12131","2022-02-11T08:37:12.390"
"BIHAR","10","KHAGARIA","237","3287","10154","2022-02-11T08:37:12.390"
"BIHAR","10","KISHANGANJ","224","2930","12196","2022-02-11T08:37:12.390"
"BIHAR","10","LAKHISARAI","241","9327","6095","2022-02-11T08:37:12.390"
"BIHAR","10","MADHEPURA","227","2581","6212","2022-02-11T08:37:12.390"
"BIHAR","10","MADHUBANI","221","18648","19784","2022-02-11T08:37:12.390"
"BIHAR","10","MUNGER","240","4359","6145","2022-02-11T08:37:12.390"
"BIHAR","10","MUZAFFARPUR","230","16498","55988","2022-02-11T08:37:12.390"
"BIHAR","10","NALANDA","243","9799","15120","2022-02-11T08:37:12.390"
"BIHAR","10","NAWADA","252","7530","5137","2022-02-11T08:37:12.390"
"BIHAR","10","PASHCHIM  CHAMPARAN","217","18776","36628","2022-02-11T08:37:12.390"
"BIHAR","10","PATNA","244","23233","45972","2022-02-11T08:37:12.390"
"BIHAR","10","PURBI  CHAMPARAN","218","15232","34675","2022-02-11T08:37:12.390"
"BIHAR","10","PURNIA","225","8068","21161","2022-02-11T08:37:12.390"
"BIHAR","10","ROHTAS","248","14187","15802","2022-02-11T08:37:12.390"
"BIHAR","10","SAHARSA","228","4234","14518","2022-02-11T08:37:12.390"
