Sr No,Company Name,NSE/BSE Ticker,Exchange Index,SME Type,Sector,Industry,Theme,Loan Taken,Estimated Total Debt (Cr),Estimated Market Cap (Cr),Data Source,Note
1,Infollion Research Services,INFOLLION,NSE Emerge,NSE Emerge,Technology,IT Services,Digital Staffing,Yes,8.2,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
2,Zaggle Prepaid Ocean Services,ZAGGLE,NSE Emerge,NSE Emerge,Technology,Fintech,Digital Payments,No,0.0,950,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
3,Netweb Technologies India,NETWEB,NSE Emerge,NSE Emerge,Technology,IT Infrastructure,HPC & Cloud,Yes,42.5,2100,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
4,Avalon Technologies,AVALON,NSE Emerge,NSE Emerge,Technology,EMS,Electronics Mfg,Yes,95.3,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
5,Ideaforge Technology,IDEAFORGE,NSE Emerge,NSE Emerge,Technology,Drones,Defense UAV,Yes,35.0,900,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
6,Cyient DLM,CYIENTDLM,NSE Emerge,NSE Emerge,Technology,Defense Electronics,Defense Tech,Yes,120.0,3200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
7,Sancode Technologies,SANCODE,BSE SME,BSE SME,Technology,Software Products,SaaS,Yes,5.5,65,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
8,Ace Integrated Solutions,ACEINTEG,BSE SME,BSE SME,Technology,IT Services,B2B IT,Yes,3.2,48,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
9,Droneacharya Aerial Innovations,DRONEACHARYA,BSE SME,BSE SME,Technology,Drone Services,UAV Training,Yes,2.1,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
10,CrayonData,CRAYON,BSE SME,BSE SME,Technology,AI/ML,Data Analytics,Yes,6.8,120,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
11,Digikore Studios,DIGIKORE,BSE SME,BSE SME,Technology,VFX & Animation,Media Tech,Yes,4.5,95,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
12,Trident Techlabs,TRIDENTTECH,BSE SME,BSE SME,Technology,IoT Solutions,Smart Infrastructure,Yes,3.8,55,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
13,Rashi Peripherals,RASP,NSE Emerge,NSE Emerge,Technology,IT Distribution,IT Channel,Yes,485.0,1900,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
14,Magson Retail,MAGSON,BSE SME,BSE SME,Technology,Retail Tech,Electronics Retail,Yes,12.0,78,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
